Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Kiribati,0.70081382,239.9270477,4280.0,90.0,81.0,0.9936923076923078,422.0,67.851,40.4027751,13.87048947,25.67971129,4.530555555555556
"Korea, Dem. People's Rep.",0.8800692859999999,1449.1322523124295,20412.66304347826,97.0,99.0,0.9936923076923078,513.0,71.91,14.98240747,66.62582173,57.94876916857851,4.530555555555556
"Korea, Rep.",12.17536474,2929.065674,41120.0,97.0,97.0,0.9936923076923078,70.0,82.62682927,124.5854293,98.86057265,97.73700976,4.530555555555556
Kosovo,4.140249228967392,1449.1322523124295,10740.0,87.67213114754098,87.0327868852459,0.9936923076923078,109.91783505154638,71.99512195,107.72459359056994,72.09441406816394,57.94876916857851,0.4
Kuwait,22.11975932,3760.216064,58770.0,99.0,99.0,0.9936923076923078,28.0,75.311,176.00243490000003,100.0,100.0,4.530555555555556
Kyrgyz Republic,1.506889097,231.27180479999998,4800.0,92.0,95.0,0.19,124.0,71.2,136.8066442,68.41412484,92.03138774,1.1
Lao PDR,2.662148349,175.3018341,6870.0,69.0,72.0,0.24,168.0,67.277,53.38406897,16.73258115,57.93024836,4.530555555555556
Latvia,3.665855236,1704.413452,28580.0,98.0,96.0,0.9936923076923078,32.0,74.62926829,126.2941822,95.51932862,76.5155682,0.8
Lebanon,4.293649871,1081.2810060000002,15920.0,83.0,82.0,0.05,10.0,78.833,64.50864324,47.35856826,15.75475375,4.530555555555556
Lesotho,1.166608974,283.6983948,3030.0,87.0,90.0,12.67,681.0,52.946999999999996,113.83051869999998,25.63996095,42.14656281,27.2
Liberia,0.267958311,123.5618668,1380.0,84.0,87.0,0.63,308.0,63.295,56.56895266,72.09441406816394,57.94876916857851,4.530555555555556
Libya,8.632790044,1449.1322523124295,13690.0,96.0,94.0,0.07,40.0,72.52,91.47929620000001,72.09441406816394,21.61655428,4.530555555555556
Liechtenstein,4.232244412,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,109.91783505154638,83.74634146,122.7566138,100.0,98.75,4.530555555555556
Lithuania,3.966902878,2142.755371,32540.0,94.0,94.0,0.9936923076923078,51.0,75.4804878,153.27572719999998,94.44231092,93.35363524,1.0
